oreum_id,official_record_no,name,city,address,altitude_m,area_m2,shape,attachment_status,location_status,location_grade,lat,lon,permit_context_count,farmmap_state_grade,farmmap_class,farmmap_pnu,model_status,model_screen_class,rgb_review_label,rgb_persistent_change,official_causal_grade,selective_decision
JJ-OREUM-274,274,어후오름,제주시,제주특별자치도 제주시 조천읍 교래리 산137-2,1016.9,229772.0,말굽형(북동향),corroborated,resolved_offline_osm_peak,C,33.3910529,126.5936973,6,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-275,275,여문영아리,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산145,514.0,600325.0,말굽형(북향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.3826903,126.6940924,0,U,,,screen_complete_existing_v6,high_stable,cloud_haze_shadow,no,U,abstain
JJ-OREUM-276,276,여절악,서귀포시,제주특별자치도 서귀포시 남원읍 신흥리 산18,209.8,110552.0,말굽형(남향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.348929,126.7364776,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-277,277,열안지,제주시,제주특별자치도 제주시 오라이동 산97,583.2,368262.0,말굽형(남동향),corroborated,resolved_offline_osm_peak,C,33.425875,126.5212028,4,U,,,screen_complete_existing_v6,high_unstable,pending,pending,U,abstain
JJ-OREUM-278,278,열안지오름,제주시,제주특별자치도 제주시 봉개동 산78-1,328.7,55701.0,말굽형(북향),corroborated,resolved_offline_osm_peak,C,33.4730719,126.6053687,2,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-279,279,영아리,서귀포시,제주특별자치도 서귀포시 안덕면 상천리 산24,693.0,477656.0,말굽형(서향),not_in_attachment_scope,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-280,280,영주산,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산18-1,326.4,1338920.0,말굽형(동남향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.4046235,126.7962598,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-281,281,영천악,서귀포시,제주특별자치도 서귀포시 상효동 2364,277.0,256127.0,원형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.2952411,126.6008433,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-282,282,예촌망,서귀포시,제주특별자치도 서귀포시 남원읍 하례리 95-11,67.5,312719.0,원추형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.2569375,126.6304282,0,C,과수,5013025328100950002,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-283,283,오구시오름,제주시,제주특별자치도 제주시 오등동 570-1,188.6,27729.0,말굽형(동향),corroborated,resolved_offline_osm_peak,C,33.4699864,126.5350734,4,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
