PNU,위치명,지목명,면적(㎡),용도지역명,용도지구명,지자체코드,지자체명,개발행위코드,개발행위명,대표개발행위코드,대표개발행위명,신청일자,허가일자,개발행위목적
5011031030132580000,제주특별자치도 제주시 한경면 저지리 3258,도로,247359,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260325,20260326,국유도로 포장
5011031023108110002,제주특별자치도 제주시 한경면 고산리 811-2 ,잡종지,0,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260319,20260324,
5011025321201360007,제주특별자치도 제주시 애월읍 광령리 산136-7 ,목장용지,0,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260306,20260318,액비저장조 설치
5011025342106410001,제주특별자치도 제주시 애월읍 유수암리 641-1 ,전,376,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260224,20260311,마을운동장 조성
5011012200124660009,제주특별자치도 제주시 노형동  2466-9 ,임야,125,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260310,20260402,대지확장(노형동 2466-1 합병)
5011025324112920000,제주특별자치도 제주시 애월읍 구엄리 1292,도로,0,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260223,20260303,국유도로 포장
5011025929200340018,제주특별자치도 제주시 조천읍 교래리 산34-18 ,임야,1033,,,50110,제주특별자치도 제주시,10001, 공작물설치 토지형질변경,00001, 토지형질변경,20260223,20260405,노외주차장 조성
5011025929102060000,제주특별자치도 제주시 조천읍 교래리 206,전,812,계획관리지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260224,20260325,노외주차장 조성
5011013200114300000,제주특별자치도 제주시 용강동  1430,전,1619,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260202,20260227,임야 진입로 조성
5011031029102300001,제주특별자치도 제주시 한경면 낙천리 230-1,임야,2632,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260211,20260226,농지 개간
5011010900119390001,제주특별자치도 제주시 용담이동  1939-1 ,전,0,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260220,20260415,노외주차장 조성
5011011000111880003,제주특별자치도 제주시 용담삼동  1188-3,전,0,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260219,20260504,노외주차장 조성
5011011000111940000,제주특별자치도 제주시 용담삼동  1194,전,0,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260219,20260504,부설주차장 조성
5011025340102040011,제주특별자치도 제주시 애월읍 하귀1리 204-11,전,891,자연녹지 제2종일반주거,고도지구,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260212,20260316,부설주차장 신설
5011012700119010003,제주특별자치도 제주시 도두일동  1901-3,전,0,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260206,20260402,대지확장
5011012200104990000,제주특별자치도 제주시 노형동  499,임야,5366,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260130,20260209,임시야적장 사업기간 변경
5011031023108110002,제주특별자치도 제주시 한경면 고산리 811-2 ,잡종지,0,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260123,20260206,태양광 공작물 설치
5011025625114610004,제주특별자치도 제주시 구좌읍 송당리 1461-4,대,3803,계획관리지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260120,20260219,온천굴착
